user_id,item,frequency
42,Salad,5
42,Shawarma,1
42,Beans,1
42,Pizza,4
42,Egusi Soup,2
42,Sandwich,4
42,Pasta,2
43,Pasta,2
43,Pounded Yam,4
43,Fufu,3
44,Pounded Yam,5
44,Pasta,1
44,Beans,3
44,Salad,2
44,Egusi Soup,1
44,Pizza,1
44,Jollof Rice,1
44,Amala,2
45,Jollof Rice,1
45,Suya,5
45,Pizza,2
45,Salad,4
45,Chicken Wings,3
45,Fufu,3
46,Ice Cream,5
46,Efo Riro,1
46,Shawarma,3
46,Sandwich,5
46,Salad,4
47,Burger,5
47,Egusi Soup,1
47,Pizza,3
47,Efo Riro,5
47,Sandwich,4
47,Beans,3
47,Fufu,1
47,Chicken Wings,5
47,Fried Rice,3
48,Beans,4
48,Chicken Wings,3
48,Efo Riro,4
49,Beans,4
49,Shawarma,4
49,Fish Stew,5
49,Pasta,3
49,Chicken Wings,3
50,Egusi Soup,5
50,Pasta,4
50,Plantain,3
50,Pizza,1
50,Goat Meat,4
50,Sandwich,3
